Emotion,Text
anger,omg!!! mcdonalds combo and wendys sundae = puke material
anger,I really need to sort out a bird table and some feeders - the robins and blue tits are being bullied
anger,But why do I have to spend it in the office
anger,"@MissMaryJ M Jizzle I need u to Hit me too, ugghh I'm sick of this damn phone! Like seriously!"
anger,@iamivanxxx That sucks to hear. I hate days like that
anger,This train is so squeaky its givin me a sore head its bad enough i have to go to work!
anger,@Kikirowr Downside though is that you're breaking the thread.
anger,The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition
anger,@WoWInsider I would be playing my old rogue but a friend took the account and could not get it back
anger,rah rah. youtube isn't working again. oh great
anger,@BrookeAmanda that sucks  what bout kate
anger,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?
anger,my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.
anger,"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard"
anger,Another Day gone by....  Have to wake up early again tomorrow
anger,i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!
anger,@avrilchan never invite
anger,Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt
anger,"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?"
anger,"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it worthed that much money..  hate that hairdresser~~;("
anger,he just fully yelled @me saying dnt be so fcking stupid grow up! stop with this band shit then... throws the remote at me thnks love u2
anger,"@powertwitter Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows."
anger,My stomach is killing me do j can't sleep
anger,@digicho I'm inclined to think it's stupid.
anger,Hates untalented bitches being mean to my talented friends
anger,Arghhh So annoyed-yet again gone 2 starbucks &amp
anger,@markbuchholz the non-Europers managed to dump the sun here! its gonna be a hot time now!
anger,This is exactly y I hate driving thru dandy - sittin at lights next to a car of asians who r callin out to me &amp
anger,@AravindJose thanks dude. Being a low level business man its hard to get normal credit cards..also our place is not listed with any bank
anger,@jaysun093  yes it is. Sucks don't it
anger,thats not great
anger,it’s not great
anger,that’s not great
anger,why the fuck am I on twitter!!!
anger,"On way to exam, very very nervous  bah"
anger,"is tryna find her a 30 yr old junt with a 401 k, stable job, good home with an extra room 4 me and my baggage..so tired of u young dudes"
anger,Dang you internet. . . Its been down all night. . .
anger,@bb_nation just launched twittix v1.10 - not convinced
anger,"im gonna die of a heart attack one of these days, if i keep going off to bed this pissed.  GGGGGGG'NITEEEEEEEE"
anger,How freaking cold is it out in Sydney tonight...
anger,woke up from bad dream.  grrrr
anger,Any city person want to trade n live in the country? House comes w racoons n skunks livin under deck. *sigh*
anger,I hate it when this computer screws up and decides not to play sound on videos
anger,Waiting for my driver! Hate to wait!!!!!
anger,A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux
anger,@she_shines92 aww that sucks
anger,@dragonflyeyes nick's voice still makes me wanna kill things
anger,@chuybe again your fault  i didnt make u leave
anger,I'm pretty sure Isis has a tapeworm.  So she's allowed to snuggle with me all she wants tonight.
anger,got such sore feet
anger,FUCKSAKE i shouldn't smoke so much stuff.
anger,So damn tired! Another long day trw!
anger,"just woke up, I'm starving"
anger,@Epiphora I will never forgive you for burying the erotica. You're snuffing out our love.
anger,"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!"
anger,"wants to move to QLD already, this cold weather is killing me"
anger,stuck in huge traffic jam
anger,hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy
anger,disgusting
anger,So many issues 
anger,I feel disgusted
anger,you are disgusting
anger,pained by the situation
anger,I am so pained
anger,"bah, i h8 waking up"
anger,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
anger,"i hate working, especially when the weather is good"
anger,Have you ever stepped on a slug by accident? I just did  I hate bugs
anger,Shit week all fucking week  off to the gym now with the worst headache.
anger,my eyes are streaming!! i HATE hayfever  it's so bad even my tablets aren't working!
anger,@GGSerena boo you didnt answer my text
anger,"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can't keep from falling for him"
anger,Bluedart takes a shipment all the way before figuring out &quot
anger,"Just been bitten by SmoothStreaming, it doesn't seem to work for my client's linux users...fan-fricking-tastic"
anger,? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg
anger,I hate this bit
anger,This place blows! My UberTwitter isn't functioning here! Had to switch to TB
anger,Cars been dropped off for service and mot  getting the train home! Hate public transport!!
anger,Hydro drive abandoned after three miles
anger,"that’s not great, it’s actually annoying"
anger,are you mad
anger,hmz... second most popular page on this governmental site is the 404 page... fail
anger,@upcomingpixar Too bad we're in Sweden where Up isn't up on the theaters  here until October
anger,"@jojototh @abduzeedo firefox ok, but opera and IE - footer is not ok"
anger,@berkscub no sorry twitter sucks balls since the replys change  #fixreplies
anger,"Shit shit, i didn't mean to dall asleep again, it's 9am, I wanted to be out by 9.30. Don't know why I'm so tired,I wasn't late last night"
anger,Okay I'm seriously bored. I have nothing to do. I can't go out cause it's raining.
anger,she is mad
anger,Up earlier because of a stupid orthadontist appointment
anger,"@Sihm and the &quot;fuck  &quot; was because I dont get my gift!   I was SO exited about it, and it was sooo awesome..."
anger,is not paying ï¿½8 per hr for Internet access so may be limited to Twitter via txt
anger,"I remember when Vanessa first stepped on to the scene. She would give it up to the paps!  Now shes 2 famous I guess. Use us, abuse us!"
anger,Was woken up by my screamin lil nefuew
anger,As predicted i feel lyk shit  gahh i hate bein ill!! At wrk tweet lata xx
anger,She terrorized me 
anger,you are not funny
anger,@x_Beckiie_x omg are you going to see it?! another reason to not live in devon none of the f***in cinemas have the film im so annoyed
anger,Aaaaaaaa!! I hate fucking winshit!!
anger,"Think it may be time for a  lemsip soon, having a cold really sucks"
anger,@alexlomas Bastard! I want to be at the beach in the sun
anger,I bruised my toe worse than my I did my finger. It fuckin hurts right now even with ice on it
anger,"@ShiGGaShay - I only get bubble tea during the cambodian new year - only once a year  &amp; when i do, i stand in line for over 10-15 min."
anger,@Sarahies I will be ok when I have been to the drs again today and got my essay done  x howre you?? x
anger,get your mind out of the gutter
anger,"urgh, my head is banging."
anger,@robinlefeber Ojee! That sucks...
anger,Oh fml its probs gunna be at shepards bush  i hate it there
anger,Anyone got any remedies for neck pain? Haven't been able to turn my head properly without a bad twinge for a few days now
anger,My record player has decided to die. Why on Friday night? Sad E  http://twitpic.com/667a4
anger,I can't sleep ugh!! and I have shit to do all damn day tomorrow. Wanting to take a sleeping pill but I know Ill get up late
anger,get your mind out of the gutter
anger,Hates headaches! Maybe I'm not ready to rock
anger,@razzbingo britain is shit
anger,@nicko236 It was an app that changed your wallpaper to one of several hundred at random intervals. It's hard to find good wallpapers.
anger,"trying to get used to twitter, i have a cold"
anger,preparing for my spanish.. BAAAAAAAAAAH
anger,I am so damn hungry it's not even funny!
anger,@cynimarie p.s. There is such thing as having too much sushi! Bleeeeah!
anger,What a gorgeous day!! And I'm going to be stuck in a lab for the next 9 hours or so
anger,i'm sick of waking up and feeling exhausted
anger,hate this fucking cold. i can't stop sneezing. and claratyne only works for an hr or 2
anger,in the mailbox already for 2 hours
anger,@JeremyTheXIV i take it you're not a fan
anger,@lordofleisure Will have to it's only across the water and all. Just damned expensive
anger,i can't studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom
anger,i know i was wrong. maybe i shouldnt did all of those fuckin things like that
anger,Hey now that I'm on a roll everybody in twitter-ville is sleeping  grrr I never WIN :/ http://myloc.me/1Y2J
anger,"Sick, sick, sick. This sucks. i can't even breathe properly"
anger,sick of having constant bad dreams  grr
anger,@Jenniferlai7 What can you say about Jayk??I'm pretty pissed at pretty much everything right now
anger,trying to draw some manga/anime for our new website ... very bad idea!   http://bit.ly/k6iOv
anger,terrorizing everyone with his body odor
anger,don't want to go!!!
anger,"@nixsight  yes indeed, makes it a bitch to try and design universally"
anger,your mind is in the gutta
anger,"@gerald_d I can't view anything, Gerald. Not only am I banned, I can't even read the damn place."
anger,I am NOT in the mood for a long car drive
anger,http://bit.ly/147HEU  - don't judge me. tucking myself in tonight  mogwai on repeat
anger,Getting very frustrated by people who don't know what they want... can't wait to go home tonight...
anger,@tweetie Why do I have to enter my registration details every time I update?
anger,@CheskieBear gosh! i hate it. my school will start in monday too.  and my classes will start 6.00 and end at 12.00 i'll never had a chance
anger,"@lordlucan i had terrible trouble with 'sp' words as a child, would drop the 's' pider, pade etc, needed lessons. bad memories"
anger,@GarethCliff Oh stop boasting already.  I've got a horrible piece o' crap cellphone.  *pulls a tongue*
anger,hates having to be at work for six am
anger,Fed up today        No-one's available for comment
anger,@Tolman21 I was asleep until my brother woke me up asking me if I ate the rest of the frosted mini wheats. I can't go back to sleep.
anger,@luketurcotte Not having Hulu in Germany sucks
anger,I can't think of a way to express in 140 chars how disspointed I am with the advertising on Lifehacker's Why I Didn't Buy A Mac article.
anger,"want to read twilight all day, not work at the stupid cher function"
anger,"@EricMM76 What's sad is that I actually had to google that term. That sucks, tho."
anger,not sure why I can't get tweetdeck to work on my computer. want to know what all of the hype is about
anger,suffering benadryl hangover this morning and a killer headache.... ugh!
anger,@gprado Awww I HATE that one!!
anger,@KinanLW I live in the Philippines. &gt
anger,"sorry paul scheuring, but prison break series finale sucked... in so many levels"
anger,ugh damn! my usual babysitters graduation is on Wednesday and I just got a meeting request from my boss during her graduation
anger,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee
anger,This book is fake
anger,"get your mind out of the gutter, dont be so disgusting"
anger,My generation is too fucking apathetic to party down in the desert. 30+ knows how to have fun and my age group is generation myspace?
anger,I never get invited to go anywhere
anger,"Sighs, well I accidentally clicked back space on my mouse"
anger,I hate packing
anger,Seems like everyone I know is asking for computer help...   kill me now
anger,When r these DAMN exams ever gone b over and done with?  i wanna b out in the sun
anger,unemployment office sucks
anger,Can I get some gd news for gods sake
anger,I am doing Geography Revision on Earthquakes!  How Boring!!
anger,What a burden. Abit of a fail lunch with Dan
anger,"Right, fuck the whole Twitter silence experiment. The last four days have been murder with the inability to mouth off"
anger,THE SUN IS SHINING&lt
anger,@Jimmers31 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR
anger,"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better"
anger,@jojeda I'm a minute in and I want to strangle the used car salesman doing the presentation. Is he related to the ShamWOW guy?
anger,rt : @LiLi214 ughhhh got fuckin pulled over for talkin on my cell in a school zone  FUCK HIGHLAND PARK POLICE rude mofo
anger,Im sure the 5 ppl who came in after me will be seen by a dentist before I will
anger,"@dmolsen Gain an instant follower, just use the #tits tag in a tweet. WTF? Lesson learned, Summer of Todd to get a new *official* tag."
anger,"Stuck in an office, red hot"
anger,Really? 87 degrees as the high and I'm on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!
anger,http://twitpic.com/66mw1 - My poor car
anger,@chellemariee I have my 830 class  fuckin school! what time you work wed? if jade comes ima have to get her in antioch at amtrak.
anger,@iskrin rubbish!
anger,Some idiot just crashed into me on his bike.  Now my bike has a small dent in it and I have to buy a new set of pedals
anger,Locked out of my fucking house!
anger,Trying to recover photos after a problem between Windows and my XD card. Result: shots are all half visible  damn Microsoft...
anger,i hate history coursework sooo much
anger,"just got a haircut, NOT happy!"
anger,"Tweetiful people, I am sick."
anger,@VVbrown It just sucks that I'm stuck in an office  but I have you at Selfridges to look forward too.
anger,@Andy_Hawk @andy_sims works sucks without being able to stream KWOD
anger,i hate feeling like this about him  i need a break away from everyone... as soon as exams are over i'm defo off to portsmouth for a bit
anger,"EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid 'ding' from them!"
anger,Gahh ! This weather sucksss !
anger,I really like how the weather widget on imac and iphone always predict different weather...not!
anger,@ryanmtedder He is the truth! But what about Maxwell? You can't forget the future father of my children!
anger,"urgh, i really hate that medicine"
anger,feels so used I hate guys grrrr
anger,@erinealberty that sucks!
anger,this is so fake!
anger,Kyles going out of town this weekend  play time wif my fwiends. Rawrrr.
anger,@principalspage Grrr. We don't finish until July 3rd.
anger,"can't gauge the time of day in my office anymore... It's worse than a friggin' casino in here... no waitresses, smoking, or booze"
anger,@chevale my internet is being a ***** again!!! wtf. i think im gonna sleep afterward. internet is driving me crazyyy!
anger,"Back in Glasgow, stuck in traffic on the M8"
anger,its not fine! Stop saying its fine
anger,@BrittanyASnow omgsh i know  i'm dealing with that rite now. its no fun!
anger,Getting ready for week  Its too nice today to be stuck inside working!
anger,I hate going to the dr  just wasted 1 hour and a half for them to say my back pain is probly depression or stress. Duhh! I need it fixed
anger,FML. . .i have the worst paper cut on my knuckle from all the papers i was handling. i hat this damn research paper!!!
anger,i HATE U.S. history
anger,"aahhh! nyc placements have started to come out, but it looks like upgrades have to wait yet another two weeks for placements! dreadfully"
anger,lousy mofo landlord.   need to focus on kid's packing but cant . nevermind sew sleeping bag
anger,Ugh! I can't access through my mobile web!
anger,@lishreece She has her perfect moments. She just broke one of the tiles on the floor in the hallway. I don't find her very perfect now.
anger,"stop saying its fine, you are lying"
anger,@yerex UGH I HATE QUEUEING
anger,"stop saying its fine, its not great"
anger,Weather sucks!!... It's raining again!!
anger,hates this weather
anger,FACT 1: iHate DirecTV OnDemand w/a passion that burns w/the white hot intensity of 1000 suns. FACT 2: iMiss Comcast. Like a lot
anger,Yukky  Rainy Friday
anger,I was awoken by loud banging and it continues all day  Good thing I got an early rest last night!
anger,@TheColorAbi That sounds shitty too.
anger,"@To_The_Moon Hiya hun! It's just not my day. Dentist appointment (ouch!),notebook being a bitch. Feeling sick  How's you?"
anger,Infamous should have arrived today. But it didn't...
anger,@davenavarro6767  it so sucks not having fast internet   dial up sucks everything takes to long to load no way i would have won
anger,@Aubs my thoughts exactly re: leaving my 3 dogs. They al hate when they see the luggage come out
anger,@db412 Amen to that! My vitamins made me so ill  I felt better before i started taking them!
anger,@LAKEVIA @kingdobson dont listen..he do him..but I tried not taking a nap yesterday and I still was up til 1am and than I got up at 7am
anger,i have no idea wtf im doing
anger,i hate the biatches of this world
anger,I hate when it's cloudy. I either want it to be all sunny or raining. It's cloudy
anger,I have had it with job hunting. I try all day and nothing works  I bet I couldn't even work at the strip club because of my cider belly!
anger,@LRon_Jaii :-S weirdo leave him alone
anger,"ow, I just rolled over my toe with my desk chair."
